AnnualPatients,BandwidthMbps,VesselWorkers,Reviewers,AnnualizedCompleted,AnalyticalCapacity,P95LatencySeconds,BottleneckOfferedUtilization,Sustainable,EvidencePending,ReviewPending,Generated
125000,25,4,2,128115,571304.347826087,123.569660000008,0.143831018518519,0,3,2,702
125000,25,4,4,128115,948879.193621183,123.569660000008,0.143831018518519,0,3,2,702
125000,25,4,8,128115,948879.193621183,123.569660000008,0.143831018518519,0,3,2,702
125000,25,4,16,128115,948879.193621183,123.569660000008,0.143831018518519,0,3,2,702
125000,25,8,1,128115,285652.173913043,186.645618993469,0.186111111111111,0,3,2,702
125000,25,8,2,128115,571304.347826087,123.569660000008,0.0930555555555556,0,3,2,702
125000,25,8,4,128115,1142608.69565217,123.569660000008,0.0719155092592593,0,3,2,702
125000,25,8,8,128115,1897758.38724237,123.569660000008,0.0719155092592593,0,3,2,702
125000,25,8,16,128115,1897758.38724237,123.569660000008,0.0719155092592593,0,3,2,702
125000,25,16,1,128115,285652.173913043,186.645618993469,0.186111111111111,0,3,2,702
